order_id,supplier,region,product_category,carrier,order_date,promised_date,actual_delivery_date,units,defect_flag
ORD-101783,SUP-001,Southwest,Office Supplies,CarrierC,05/22/2024,2024-05-25,2024-05-24,449,0
ORD-104026,SUP-004,Midwest,Home Goods,CarrierD,01/27/2024,2024-01-29,2024-01-28,80,0
ORD-105016,SUP-012,Southwest,Perishables,CarrierC,2024-10-14,2024-10-19,2024-10-21,148,0
ORD-104161,SUP-005,Northeast,Electronics,CarrierD,08/18/2024,2024-08-23,2024-08-23,188,0
ORD-102185,SUP-002,Midwest,Office Supplies,CarrierD,2024-01-22,2024-01-24,2024-01-23,325,0
ORD-102097,SUP-005,Midwest,Perishables,CarrierC,13-Sep-2024,2024-09-15,2024-09-15,214,0
ORD-104751,SUP-015,Northeast,Apparel,CarrierC,06/25/2024,2024-06-28,2024-06-28,393,0
ORD-102049,SUP-004,Midwest,Office Supplies,CarrierD,2024/03/19,2024-03-24,2024-03-24,137,0
ORD-104828,SUP-013,Southwest,Perishables,CarrierB,08/25/2024,2024-09-01,2024-08-31,201,0
ORD-100899,SUP-003,Southeast,Apparel,CarrierD,13-Sep-2024,2024-09-15,2024-09-27,492,0
ORD-103872,SUP-009,West,Electronics,CarrierA,2024/08/04,2024-08-06,2024-08-06,290,0
ORD-102555,SUP-015,Northeast,Perishables,CarrierB,29-Jan-2024,2024-02-05,2024-02-09,354,0
ORD-100248,SUP-006,Midwest,,CarrierD,27-Sep-2024,2024-09-29,2024-09-29,158,0
ORD-104883,SUP-001,Northeast,Electronics,CarrierA,2024/06/21,2024-06-24,2024-06-28,422,0
ORD-104504,SUP-008,Southwest,Home Goods,CarrierA,26-Jul-2024,2024-08-05,2024-08-08,199,0
ORD-105525,SUP-014,Southwest,Apparel,CarrierB,10-Jul-2024,2024-07-20,2024-07-19,148,0
ORD-100200,SUP-015,Northeast,Home Goods,CarrierA,2024/02/21,2024-02-23,2024-02-23,80,0
ORD-102390,SUP-006,Midwest,Home Goods,CarrierC,08-Aug-2024,2024-08-13,2024-08-21,137,0
ORD-105969,SUP-013,Southwest,Apparel,CarrierA,02-Jan-2024,2024-01-07,2024-01-07,12,0
ORD-103366,SUP-010,Northeast,Electronics,CarrierD,2024-04-14,2024-04-21,2024-04-21,24,0
ORD-101155,SUP-012,Southwest,Apparel,CarrierA,05/10/2024,2024-05-13,2024-05-20,329,0
ORD-101342,SUP-016,Southeast,Apparel,CarrierB,2024/08/06,2024-08-16,2024-08-16,465,0
ORD-105722,SUP-016,Southeast,Apparel,CarrierD,07/04/2024,2024-07-11,2024-07-11,453,1
ORD-104070,SUP-009,Northeast,Office Supplies,CarrierC,28-Apr-2024,2024-05-08,2024-05-07,202,0
ORD-103751,SUP-013,West,Apparel,CarrierB,10/25/2024,2024-11-04,2024-11-03,433,0
ORD-105176,SUP-017,Southeast,Electronics,CarrierA,12/18/2024,2024-12-25,2024-12-30,405,0
ORD-101653,SUP-015,Southeast,Industrial Parts,CarrierB,2024-12-20,2024-12-23,2024-12-25,343,0
ORD-100438,SUP-018,Northeast,Office Supplies,CarrierC,2024/12/07,2024-12-10,2024-12-10,171,0
ORD-103727,SUP-012,Northeast,,CarrierD,2024/10/20,2024-10-25,2024-10-24,257,0
ORD-104143,SUP-020,,Home Goods,CarrierC,09/02/2024,2024-09-05,2024-09-04,183,0
ORD-101884,SUP-018,Southwest,Electronics,CarrierC,2024-06-23,2024-06-25,2024-06-24,153,0
ORD-100383,SUP-020,Northeast,Perishables,CarrierC,2024-03-19,2024-03-29,2024-04-02,295,0
ORD-104879,SUP-012,Southeast,Perishables,CarrierA,11/20/2024,2024-11-27,2024-12-05,386,0
ORD-100301,SUP-005,Northeast,Perishables,CarrierA,10/02/2024,2024-10-12,2024-10-12,164,0
ORD-101271,SUP-001,Midwest,Perishables,CarrierC,30-Mar-2024,2024-04-01,2024-04-01,204,0
ORD-105792,SUP-016,Southwest,Electronics,CarrierA,2024-02-11,2024-02-21,2024-02-21,479,0
ORD-100988,SUP-015,Northeast,Home Goods,CarrierC,2024-09-02,2024-09-09,2024-09-15,272,0
ORD-104595,SUP-006,Northeast,Apparel,CarrierD,2024-06-04,2024-06-11,2024-06-15,127,0
ORD-103202,SUP-004,Northeast,Apparel,CarrierB,2024/10/03,2024-10-08,2024-10-07,249,0
ORD-101437,SUP-014,Southeast,Office Supplies,CarrierB,06/17/2024,2024-06-20,2024-06-20,327,0
ORD-101403,SUP-006,Southeast,Electronics,CarrierC,2024-03-06,2024-03-08,2024-03-08,393,0
ORD-104668,SUP-002,Midwest,Perishables,CarrierA,2024-12-22,2025-01-01,2025-01-08,280,0
ORD-101078,SUP-001,West,Industrial Parts,CarrierA,27-Feb-2024,2024-03-03,2024-03-08,140,0
ORD-104543,SUP-013,Midwest,Industrial Parts,CarrierD,01-Jan-2024,2024-01-06,2024-01-06,193,0
ORD-102654,SUP-018,Southeast,Office Supplies,CarrierD,08/15/2024,2024-08-20,2024-08-20,476,0
ORD-100255,SUP-009,Southwest,Industrial Parts,CarrierA,2024/11/01,2024-11-06,2024-11-06,143,0
ORD-101016,SUP-019,Southeast,Perishables,CarrierA,02-Aug-2024,2024-08-09,2024-08-09,172,0
ORD-102382,SUP-003,West,Industrial Parts,CarrierA,08/25/2024,2024-09-04,,228,0
ORD-102161,SUP-001,Midwest,Apparel,CarrierC,2024-05-26,2024-06-05,2024-06-05,182,0
ORD-102520,SUP-007,Northeast,,CarrierB,01/31/2024,2024-02-10,2024-02-10,227,0
ORD-101660,SUP-011,Southwest,Apparel,CarrierD,11-Aug-2024,2024-08-14,2024-08-14,78,0
ORD-102378,SUP-020,Southeast,Electronics,CarrierD,2024/08/18,2024-08-28,2024-08-31,355,0
ORD-100929,SUP-011,Southeast,Industrial Parts,CarrierB,2024/12/07,2024-12-09,2024-12-09,488,0
ORD-102805,SUP-001,Midwest,Electronics,CarrierA,02/13/2024,2024-02-20,2024-03-02,440,0
ORD-100623,SUP-016,West,Perishables,CarrierA,25-Dec-2024,2025-01-04,2025-01-10,309,0
ORD-105584,SUP-012,West,Apparel,CarrierC,06-Dec-2024,2024-12-09,2024-12-13,141,0
ORD-102479,SUP-006,West,Industrial Parts,CarrierB,2024/06/13,2024-06-23,2024-06-26,65,0
ORD-100496,SUP-012,West,Industrial Parts,CarrierD,2024-07-24,2024-08-03,2024-08-07,332,0
ORD-102543,SUP-001,Southwest,Apparel,CarrierD,2024-12-02,2024-12-04,2024-12-04,268,0
ORD-104086,SUP-005,Northeast,Office Supplies,CarrierC,14-Oct-2024,2024-10-24,2024-10-24,441,0
ORD-100045,SUP-013,West,Perishables,CarrierD,2024/07/11,2024-07-16,2024-07-15,20,0
ORD-103740,SUP-019,Southeast,Industrial Parts,CarrierA,2024-02-01,2024-02-11,2024-02-10,256,0
ORD-102682,SUP-007,Northeast,Apparel,CarrierB,19-Oct-2024,2024-10-24,2024-11-10,416,0
ORD-101714,SUP-017,Southeast,Industrial Parts,CarrierB,2024/09/19,2024-09-26,2024-09-25,476,0
ORD-100669,SUP-016,Midwest,Perishables,CarrierC,2024-06-08,2024-06-18,2024-06-18,314,0
ORD-103044,SUP-019,Northeast,Office Supplies,CarrierD,2024-02-10,2024-02-17,2024-02-17,139,0
ORD-101227,SUP-013,Northeast,Office Supplies,CarrierB,2024/06/25,2024-07-02,2024-07-02,289,0
ORD-100943,SUP-014,Midwest,Office Supplies,CarrierB,2024-07-01,2024-07-11,2024-07-11,33,0
ORD-100958,SUP-015,Northeast,Electronics,CarrierA,03/30/2024,2024-04-09,2024-04-22,351,0
ORD-101892,SUP-015,West,Home Goods,CarrierC,2024-08-28,2024-08-30,2024-09-03,380,0
ORD-102347,SUP-009,Southwest,Electronics,CarrierA,2024/03/04,2024-03-11,2024-03-14,19,0
ORD-100433,SUP-006,Northeast,Office Supplies,CarrierB,2024/04/02,2024-04-05,2024-04-05,315,0
ORD-102498,SUP-019,Midwest,Home Goods,CarrierD,2024/03/03,2024-03-05,2024-03-05,31,0
ORD-103192,SUP-017,Midwest,Industrial Parts,CarrierB,2024-03-31,2024-04-07,2024-04-07,364,0
ORD-104284,SUP-007,West,Office Supplies,CarrierC,11/25/2024,2024-11-28,2024-11-27,246,0
ORD-100079,SUP-005,West,Home Goods,CarrierC,2024-08-19,2024-08-26,2024-08-26,296,0
ORD-102925,SUP-008,Midwest,Industrial Parts,CarrierB,2024/12/15,2024-12-20,2024-12-20,450,0
ORD-100368,SUP-015,Midwest,Apparel,CarrierA,2024/09/14,2024-09-16,2024-09-16,413,0
ORD-103358,SUP-010,Northeast,Apparel,CarrierC,02-Jul-2024,2024-07-04,2024-07-08,495,0
ORD-100386,SUP-015,West,Perishables,CarrierD,2024-09-10,2024-09-20,2024-09-24,209,0
ORD-100125,SUP-020,Southeast,Electronics,CarrierA,04-Apr-2024,2024-04-09,2024-04-09,3,0
ORD-104652,SUP-010,Midwest,Apparel,CarrierA,17-Jul-2024,2024-07-20,2024-07-20,248,0
ORD-104016,SUP-009,Northeast,Electronics,CarrierD,01/07/2024,2024-01-10,2024-01-10,38,0
ORD-103656,SUP-006,Southeast,Electronics,CarrierA,12/13/2024,2024-12-15,2024-12-14,427,0
ORD-104955,SUP-001,Northeast,Home Goods,CarrierB,2024/12/26,2024-12-29,2025-01-05,32,0
ORD-104809,SUP-018,West,Perishables,CarrierC,2024-03-16,2024-03-23,2024-03-25,321,0
ORD-101159,SUP-012,West,Office Supplies,CarrierB,09/16/2024,2024-09-19,2024-09-19,193,0
ORD-104023,SUP-014,Southwest,Apparel,CarrierA,05/17/2024,2024-05-27,2024-05-26,356,0
ORD-105033,SUP-002,Midwest,Industrial Parts,CarrierA,23-Sep-2024,2024-09-30,2024-09-30,143,0
ORD-102740,SUP-012,Southeast,Electronics,CarrierC,2024-10-12,2024-10-22,2024-10-22,137,0
ORD-104228,SUP-005,Southwest,Industrial Parts,CarrierD,07/16/2024,2024-07-23,2024-07-25,84,0
ORD-100799,SUP-013,West,,CarrierA,2024/02/07,2024-02-09,2024-02-09,456,0
ORD-102216,SUP-015,Midwest,Office Supplies,CarrierA,2024-10-07,2024-10-17,2024-10-23,284,0
ORD-100727,SUP-008,Northeast,Apparel,CarrierD,07/18/2024,2024-07-21,2024-07-21,39,0
ORD-102632,SUP-013,West,Electronics,CarrierB,16-Sep-2024,2024-09-18,2024-09-17,132,1
ORD-103657,SUP-016,Northeast,Perishables,CarrierA,2024-04-10,2024-04-15,2024-04-19,208,0
ORD-102336,SUP-019,Northeast,,CarrierB,2024-01-18,2024-01-25,2024-01-25,342,0
ORD-102282,SUP-009,Midwest,Perishables,CarrierA,03/30/2024,2024-04-01,2024-03-31,466,0
ORD-102361,SUP-019,Midwest,Industrial Parts,CarrierB,2024/10/10,2024-10-20,2024-10-20,342,0
ORD-104497,SUP-009,Midwest,Perishables,CarrierC,07-May-2024,2024-05-10,2024-05-10,139,0
ORD-104282,SUP-016,Midwest,Industrial Parts,CarrierC,2024-09-07,2024-09-17,2024-09-17,46,0
ORD-102025,SUP-001,Southeast,Industrial Parts,CarrierC,2024-11-09,2024-11-14,2024-11-20,185,0
ORD-100147,SUP-001,West,Industrial Parts,CarrierB,24-May-2024,2024-05-27,2024-05-27,498,0
ORD-105812,SUP-009,West,Electronics,CarrierA,2024/08/15,2024-08-17,2024-08-17,229,0
ORD-104245,SUP-017,Southeast,Office Supplies,CarrierB,2024/07/08,2024-07-13,2024-07-12,85,0
ORD-102989,SUP-001,Midwest,Apparel,CarrierB,26-May-2024,2024-05-31,2024-05-31,164,0
ORD-105901,SUP-013,Midwest,Perishables,CarrierB,2024-12-12,2024-12-15,2024-12-14,465,0
ORD-102292,SUP-010,Midwest,Office Supplies,CarrierB,06/03/2024,2024-06-06,2024-06-06,470,0
ORD-100608,SUP-002,Southeast,Perishables,CarrierB,2024/11/23,2024-11-26,2024-11-28,354,0
ORD-104124,SUP-009,Midwest,Apparel,CarrierC,2024-10-31,2024-11-05,2024-11-07,58,0
ORD-101669,SUP-011,Southeast,Home Goods,CarrierB,10/13/2024,2024-10-23,2024-10-23,426,0
ORD-103153,SUP-007,Northeast,Industrial Parts,CarrierB,01-Jun-2024,2024-06-03,2024-06-03,487,0
ORD-104553,SUP-009,Southeast,Office Supplies,CarrierC,2024-07-03,2024-07-08,2024-07-08,204,0
ORD-101554,SUP-019,Southwest,Industrial Parts,CarrierA,22-Apr-2024,2024-04-25,2024-04-25,285,0
ORD-105146,SUP-011,Southwest,Home Goods,CarrierC,2024-03-14,2024-03-19,2024-03-19,429,0
ORD-102967,SUP-007,Southwest,Office Supplies,CarrierA,2024-04-18,2024-04-20,2024-04-19,394,0
ORD-104395,SUP-018,Southeast,Perishables,CarrierC,02-Dec-2024,2024-12-05,,251,0
ORD-104290,SUP-019,Northeast,Electronics,CarrierB,2024-04-13,2024-04-15,2024-04-15,290,0
ORD-102781,SUP-016,Northeast,Apparel,CarrierB,25-Oct-2024,2024-10-30,2024-10-29,303,0
ORD-103231,SUP-013,Northeast,Home Goods,CarrierA,2024-04-10,2024-04-17,2024-04-19,495,0
ORD-100642,SUP-019,Northeast,Electronics,CarrierA,21-Jan-2024,2024-01-31,2024-01-30,127,0
ORD-103351,SUP-004,Midwest,Apparel,CarrierD,06/08/2024,2024-06-18,2024-06-18,377,0
ORD-102577,SUP-002,,Apparel,CarrierA,2024-12-10,2024-12-13,2024-12-15,476,0
ORD-100473,SUP-012,Northeast,Apparel,CarrierA,2024/04/21,2024-04-23,2024-04-24,30,0
ORD-101576,SUP-012,Southwest,Electronics,CarrierC,07/11/2024,2024-07-18,2024-07-17,228,0
ORD-104758,SUP-007,West,Electronics,CarrierB,12/30/2024,2025-01-06,2025-01-08,167,0
ORD-105531,SUP-019,Midwest,Industrial Parts,CarrierC,10/25/2024,2024-10-28,2024-10-28,29,0
ORD-104127,SUP-017,Northeast,Industrial Parts,CarrierC,15-Oct-2024,2024-10-25,2024-10-27,222,0
ORD-102950,SUP-018,Northeast,Office Supplies,CarrierD,11-Mar-2024,2024-03-14,2024-03-14,307,0
ORD-105131,SUP-013,West,Office Supplies,CarrierD,01/04/2024,2024-01-14,2024-01-14,37,0
ORD-100712,SUP-008,Southwest,Apparel,CarrierA,2024-06-18,2024-06-28,2024-07-04,26,0
ORD-104377,SUP-002,Northeast,Electronics,CarrierB,01/23/2024,2024-01-26,2024-01-31,257,0
ORD-101289,SUP-017,,Apparel,CarrierD,2024-07-21,2024-07-31,2024-08-07,287,0
ORD-105769,SUP-019,Northeast,Office Supplies,CarrierA,30-Apr-2024,2024-05-05,2024-05-05,401,0
ORD-100544,SUP-019,Southeast,Electronics,CarrierD,2024-05-28,2024-06-07,2024-06-11,433,0
ORD-103408,SUP-014,Southwest,Electronics,CarrierA,02-Oct-2024,2024-10-05,2024-10-04,37,0
ORD-104692,SUP-004,Southwest,Industrial Parts,CarrierD,07/30/2024,2024-08-09,2024-08-08,15,0
ORD-101331,SUP-019,West,Industrial Parts,CarrierB,09-May-2024,2024-05-12,2024-05-12,330,0
ORD-104951,SUP-004,Northeast,Office Supplies,CarrierB,2024/04/23,2024-04-26,2024-04-26,208,0
ORD-102403,SUP-020,Southeast,Electronics,CarrierC,20-Jan-2024,2024-01-27,2024-01-27,64,0
ORD-102491,SUP-018,West,Perishables,CarrierA,2024-11-25,2024-11-30,2024-12-04,70,0
ORD-103708,SUP-001,Northeast,Home Goods,CarrierD,11-Oct-2024,2024-10-14,2024-10-19,320,0
ORD-101304,SUP-016,Northeast,Perishables,CarrierA,2024/04/05,2024-04-08,2024-04-08,464,0
ORD-100169,SUP-009,Northeast,Perishables,CarrierA,2024/02/03,2024-02-05,2024-02-13,482,0
ORD-105379,SUP-007,Midwest,Apparel,CarrierD,2024-12-07,2024-12-14,2024-12-14,29,0
ORD-102997,SUP-009,,Apparel,CarrierC,2024-08-01,2024-08-11,2024-08-14,263,0
ORD-104610,SUP-015,Southwest,Apparel,CarrierD,03/23/2024,2024-03-26,2024-03-26,29,0
ORD-103507,SUP-019,Southeast,Industrial Parts,CarrierA,06/04/2024,2024-06-11,2024-06-10,455,0
ORD-100957,SUP-001,Midwest,Perishables,CarrierD,04/16/2024,2024-04-23,2024-04-28,195,0
ORD-104521,SUP-009,Southwest,Industrial Parts,CarrierD,11/12/2024,2024-11-22,2024-11-21,472,0
ORD-104320,SUP-004,Midwest,Industrial Parts,CarrierC,2024/04/18,2024-04-21,2024-04-21,149,0
ORD-105228,SUP-004,West,Perishables,CarrierD,09/23/2024,2024-10-03,2024-10-03,424,0
ORD-102719,SUP-013,Midwest,Home Goods,CarrierB,2024/10/28,2024-11-07,2024-11-07,442,0
ORD-104296,SUP-005,Southeast,Electronics,CarrierB,2024-02-26,2024-03-04,2024-03-03,443,0
ORD-105237,SUP-016,,Home Goods,CarrierD,12/21/2024,2024-12-24,2024-12-24,101,0
ORD-104714,SUP-011,Midwest,Industrial Parts,CarrierA,2024/03/27,2024-04-01,2024-04-01,300,0
ORD-100545,SUP-011,Southeast,Electronics,CarrierD,05-Aug-2024,2024-08-10,2024-08-10,499,0
ORD-101206,SUP-015,Southeast,Office Supplies,CarrierA,2024-09-04,2024-09-14,2024-09-13,440,0
ORD-101050,SUP-018,Midwest,Industrial Parts,CarrierB,2024/02/19,2024-02-26,2024-02-26,464,0
ORD-102586,SUP-009,Midwest,Electronics,CarrierB,12/12/2024,2024-12-17,2024-12-18,324,0
ORD-101023,SUP-013,Midwest,Industrial Parts,CarrierD,2024-09-22,2024-09-29,2024-09-29,45,0
ORD-103347,SUP-018,West,Home Goods,CarrierA,03-Nov-2024,2024-11-08,2024-11-08,136,0
ORD-105211,SUP-002,Northeast,Office Supplies,CarrierA,27-Aug-2024,2024-08-29,2024-09-01,286,0
ORD-100234,SUP-014,Southeast,Office Supplies,CarrierC,2024-06-13,2024-06-23,2024-06-23,184,0
ORD-101453,SUP-005,West,Home Goods,CarrierC,08/03/2024,2024-08-08,2024-08-07,108,0
ORD-100808,SUP-005,Northeast,Apparel,CarrierB,2024-05-16,2024-05-23,2024-05-23,187,0
ORD-104965,SUP-014,West,Office Supplies,CarrierD,2024/03/21,2024-03-31,2024-03-30,416,0
ORD-104378,SUP-019,Northeast,Home Goods,CarrierD,11/10/2024,2024-11-15,2024-11-14,381,0
ORD-101454,SUP-016,Northeast,Perishables,CarrierB,30-Mar-2024,2024-04-02,2024-04-02,179,0
ORD-100662,SUP-013,Northeast,Electronics,CarrierA,26-Jul-2024,2024-08-05,2024-08-05,374,0
ORD-103338,SUP-020,West,Electronics,CarrierB,25-Jul-2024,2024-07-28,2024-08-04,465,0
ORD-100444,SUP-011,Northeast,Perishables,CarrierC,04/17/2024,2024-04-22,2024-04-22,147,0
ORD-105303,SUP-006,Southwest,Perishables,CarrierA,02-Oct-2024,2024-10-05,2024-10-08,237,0
ORD-102971,SUP-016,Midwest,Industrial Parts,CarrierB,27-Jan-2024,2024-02-01,2024-01-31,26,0
ORD-104313,SUP-009,Southeast,Electronics,CarrierD,19-Oct-2024,2024-10-21,2024-10-31,481,0
ORD-104203,SUP-007,West,Apparel,CarrierD,2024-12-17,2024-12-20,2024-12-23,18,0
ORD-102666,SUP-020,West,Perishables,CarrierB,2024/11/16,2024-11-23,2024-11-30,69,0
ORD-105880,SUP-016,Northeast,Electronics,CarrierA,12/02/2024,2024-12-04,2024-12-03,306,0
ORD-100179,SUP-004,Northeast,Industrial Parts,CarrierD,07/11/2024,2024-07-16,2024-07-21,271,0
ORD-103426,SUP-005,Southwest,Perishables,CarrierD,2024-08-11,2024-08-18,2024-08-17,20,0
ORD-102295,SUP-009,Southeast,Electronics,CarrierC,25-Jan-2024,2024-01-27,2024-01-27,221,0
ORD-105276,SUP-005,Northeast,Office Supplies,CarrierC,02/04/2024,2024-02-09,2024-02-09,16,0
ORD-101558,SUP-011,Midwest,Industrial Parts,CarrierC,2024/03/30,2024-04-01,2024-04-16,184,0
ORD-103092,SUP-006,West,,CarrierC,2024-06-25,2024-06-30,2024-06-29,146,0
ORD-101321,SUP-016,Southwest,Home Goods,CarrierD,02-Oct-2024,2024-10-09,2024-10-09,189,0
ORD-100276,SUP-019,Southwest,Industrial Parts,CarrierA,2024/01/26,2024-01-29,2024-02-02,285,0
ORD-104429,SUP-017,West,Perishables,CarrierC,2024-01-22,2024-01-25,2024-01-29,404,0
ORD-105774,SUP-015,Southeast,Industrial Parts,CarrierA,2024/02/03,2024-02-05,2024-02-05,114,0
ORD-103411,SUP-013,West,Perishables,CarrierD,08-Mar-2024,2024-03-18,2024-03-18,332,0
ORD-102032,SUP-016,Midwest,Home Goods,CarrierB,02/24/2024,2024-02-27,2024-02-26,270,0
ORD-104982,SUP-016,Southeast,Apparel,CarrierA,2024/11/30,2024-12-05,2024-12-17,6,0
ORD-100607,SUP-009,Southeast,Apparel,CarrierA,14-Feb-2024,2024-02-19,2024-02-19,397,0
ORD-105134,SUP-004,Midwest,Perishables,CarrierA,12/21/2024,2024-12-23,2024-12-22,186,0
ORD-104670,SUP-006,Midwest,,CarrierD,27-Jul-2024,2024-07-29,2024-07-28,359,0
ORD-100136,SUP-018,Southeast,Office Supplies,CarrierD,09/03/2024,2024-09-10,2024-09-10,460,0
ORD-105336,SUP-007,Southwest,Industrial Parts,CarrierD,08/05/2024,2024-08-08,2024-08-07,428,0
ORD-100718,SUP-017,Midwest,Apparel,CarrierD,2024-01-03,2024-01-08,2024-01-08,334,0
ORD-100115,SUP-018,,Home Goods,CarrierB,2024-07-09,2024-07-11,2024-07-10,188,0
ORD-105524,SUP-019,Midwest,Apparel,CarrierB,18-Jul-2024,2024-07-20,2024-07-20,478,0
ORD-104462,SUP-014,West,Industrial Parts,CarrierA,12/27/2024,2024-12-29,2024-12-28,169,0
ORD-104487,SUP-017,Southwest,Office Supplies,CarrierD,2024-09-28,2024-10-08,2024-10-08,447,0
ORD-102938,SUP-020,Southeast,Electronics,CarrierD,2024/08/12,2024-08-22,2024-08-22,179,0
ORD-103856,SUP-011,Southwest,Industrial Parts,CarrierA,2024/03/28,2024-04-07,2024-04-07,207,0
ORD-103583,SUP-008,Northeast,Perishables,CarrierA,2024/05/29,2024-06-01,2024-06-07,285,0
ORD-102445,SUP-008,Southwest,Perishables,CarrierA,2024-05-30,2024-06-01,2024-06-01,335,0
ORD-103665,SUP-020,Northeast,Electronics,CarrierD,30-Jul-2024,2024-08-09,2024-08-14,341,0
ORD-103618,SUP-009,Southeast,Perishables,CarrierC,2024-09-11,2024-09-14,2024-09-14,107,0
ORD-101628,SUP-005,Northeast,Apparel,CarrierB,28-Aug-2024,2024-08-31,2024-08-30,141,0
ORD-104774,SUP-011,Southeast,Home Goods,CarrierA,06/25/2024,2024-07-05,2024-07-05,216,0
ORD-103977,SUP-012,Midwest,Perishables,CarrierC,2024-03-30,2024-04-02,2024-04-01,156,0
ORD-104550,SUP-012,Southeast,Office Supplies,CarrierB,22-Nov-2024,2024-11-25,2024-12-05,138,0
ORD-103783,SUP-020,Midwest,Perishables,CarrierA,08/05/2024,2024-08-10,2024-08-10,396,0
ORD-100285,SUP-005,Southeast,Industrial Parts,CarrierD,26-Dec-2024,2024-12-28,2024-12-28,325,0
ORD-102804,SUP-003,Northeast,Electronics,CarrierD,2024-09-30,2024-10-07,2024-10-07,232,0
ORD-105020,SUP-011,Midwest,Industrial Parts,CarrierA,2024-07-05,2024-07-12,2024-07-14,475,0
ORD-101642,SUP-004,Northeast,Electronics,CarrierD,2024-10-13,2024-10-23,2024-10-23,247,0
ORD-103232,SUP-003,Southeast,Apparel,CarrierB,2024-12-13,2024-12-18,2024-12-17,220,0
ORD-104149,SUP-002,Northeast,Home Goods,CarrierA,2024/03/09,2024-03-16,2024-03-15,457,0
ORD-104428,SUP-019,Southwest,Perishables,CarrierB,2024-03-11,2024-03-13,2024-03-14,446,0
ORD-103286,SUP-015,Southeast,Industrial Parts,CarrierA,30-Jul-2024,2024-08-04,2024-08-06,252,0
ORD-101122,SUP-003,Southeast,Electronics,CarrierD,2024/10/14,2024-10-24,2024-10-24,410,0
ORD-101328,SUP-013,Southeast,Perishables,CarrierB,2024-04-28,2024-05-01,2024-05-01,306,0
ORD-105469,SUP-008,Southwest,Home Goods,CarrierC,22-Jun-2024,2024-06-24,2024-07-04,263,0
ORD-101929,SUP-007,West,Apparel,CarrierD,2024/05/04,2024-05-11,2024-05-11,136,0
ORD-102639,SUP-003,Southwest,Apparel,CarrierC,09/01/2024,2024-09-08,2024-09-18,238,0
ORD-102263,SUP-009,Midwest,Electronics,CarrierA,02/19/2024,2024-02-21,2024-02-21,311,0
ORD-104789,SUP-011,Midwest,Industrial Parts,CarrierC,2024/05/28,2024-05-31,2024-05-31,382,0
ORD-100552,SUP-007,,Perishables,CarrierB,05/16/2024,2024-05-26,2024-05-26,276,0
ORD-100028,SUP-014,Southwest,Perishables,CarrierD,07-Jan-2024,2024-01-10,2024-01-10,254,0
